#,tweet,sector,Pricing,Appointments,Medical Staff,Customer Service,Emergency Services
0,@tfrabiah دكتور اعاني من مشكله والدتي كبيره في العمر وقرر لها عمليه استأصال مراره قبل كورونا يوم 13شعبان وتواصل معانا المستشفى وتم التاجيل الان الوالده وضعها حرج جدا تواصلت معاهم قالو نستقبلها طوارى احضرتها وتم رفض اجراء العمليه رغم كل التقارير الصادره منهم امي بتموت💔 مستشفى التخصصي بجده,private,3,2,2,3,0
1,@SaudiMOH مستشفى عبيد التخصصي لا يجري اي تدابير وقائية لدرجة اني طلبت منهم كمام واحد ماعطوني كل واحد يرميني للثاني .  @Obaid_Hospital,private,3,3,3,0,3
2,@Ahmed_S_Alrajhi يابو سليمان ليتك تجي تشوف التسيب من ادارة مستشفى التخصصي الطبي ماهم مهتمين بخصوص الفايروس وصاروا يقلصون المعقمات و مانعين الاجازات و دوام اجباري اتمنى تنظرون بوضع موظفين المستشفيات الاهلية اتمنى تشدد الرقابة عليهم وشكرا,private,3,3,3,0,3
3,في مستشفى الموسى التخصصي @almoosahospital ينتهي وقت الزيارة ومازلت تنتظر المصعد يوصل 🧐  اقترح وضع سرير بدل كراسي الانتظار  @1sport_news  @SaudiMOH   @tfrabiah  https://t.co/pLcgj9zEYc,private,3,3,3,0,3
4,@SaAskExp نصيحتي لك اهرب مستشفى متهالك تدخل متعافي تطلع مريض + كل اعلانتهم وهمية انا بنفسي رحت لهم على اساس انها ب 6000 قالي لا الصدر الواحد ب 6000 مين بيسوي واحد وبيخلي واحد + حتى التكميم اعلانتهم وهمية نصيحتي لك رح مستشفى الحبيب او التخصصي وابحث عن دكتور كويس,private,0,3,3,0,3
5,"@amaljebreen @dr_alobailan مستشفى سليمان الحبيب التخصصي ، لكن للاسف مواعيده بعيده كثييير ، انا ابي موعد وجالسه احاول لكن مافيه",private,3,0,3,3,3
6,@SaudiMOH @SaudiMOH فوضى واستهتار في مستشفى الحبيب التخصصي ( حالتي ايرجنت وطوارىء ) ويعملون لي تحايل لل MRI ويوم وصلت يقولون لي ضاعت التحاليل وتكنسل موعدك !!!!! وعادي متعاملين مع الموضوع كانه ما يعنيهم .. @HMG,private,3,0,0,0,0
7,@HMG للاسف مستشفى الحبيب التخصصي خدمات المختبر جدا سيئة نتائج ناقصة اتصل على المختبر وليس هناك من يرد. تجاهل من قبل المشرف على المختبر,private,3,3,0,0,3
8,@HMG_Care @OkYVIJuOXsnQUE9 @HMG @HMG_Obesity السلام عليكم انا منوم في مستشفى سليمان الحبيب التخصصي ولم ياتو بوجبه العشاء مع اني دافع رسوم المرافق,private,3,3,3,0,3
9,@riyadhhealth خرجت والدتي من مستشفى سليمان الحبيب التخصصي بعد تنويم حوالي اسبوع وللأسف لم تتلقى العناية اللازمة حيث مازالت لديها وجود اعراض نفس المرض .  والطبيب يفيد انه لا يمكن تقديم أي خدمة علاجيه لها,private,3,3,0,0,3
10,"@ProfAssiri السلام عليكم دكتور، طفلي بعمر سنتين ابتلع بطارية دائرية صغيرة ذهبنا به ل ٥ مستشفيات وجميعهم امتنعوا عن اخراجها بدون سبب من ضمنها مستشفى الحبيب التخصصي ودلة والمستشفى الجامعي بحكم عدم وجود ملف. هل بقائها في بطنه وانتظار خروجها مع الفضلات فيه ضرر؟",private,3,3,3,0,3
11,@Dr3abbod @HMG هذه تحتاج اوراق للرد عليها ... شخصيا وبعد تجربتين مريرة لي ان لم اجد علاج في اي مستشفى اخر افضل العلاج الشعبي على التوجه لمستشفى الحبيب التخصصي او العليا,private,3,3,0,3,3
12,الله لايحوجن على مستشفى الحبيب التخصصي ببريدة وماقول إلا الله فوقهم وقوي عليهم 😔🤍 @HMG,private,3,3,3,0,3
13,@Mohammad2684 @Saudi_FDA امس الثلاثا في صيدلية مستشفى الحبيب فرع التخصصي سعر اللعلبة ٥٠ حبة ٢٠٠ ريال اين حماية المستهلك من هذا  الجشع,private,0,3,3,3,3
14,حسبي الله ونعم الوكيل على مسئولين مستشفى الظهران التخصصي للعيون حسبي الله عليهم ما يدرون ان فيه رب العالمين ينصفني منهم ولا يشوفون ملكنا الكريم الحبيب وولي عهده كيف يهتمون بالمواطن واحتياجاته بيجي لهم يوم ان شاء الله ويعطون كل ذي حق حقه شكواي لرب العالمين وحكومتنا الرشيدة,private,3,3,0,0,3
15, أخي اللواء ركن حمد رحمه الله وغفر له دخل مستشفى الحبيب التخصصي وكان يعاني من ألم في البطن وقاموا بإحراء اشعة مقطعية وإجراء 3 عمليات في ثلاثة أيام متتالية وفي كل مرة يعلنون الفشل وعلى أثر ذلك تم ادخاله العناية المركزة ثم انتقل الى رحمة الله ورفعنا شكوى للصحة بالحالة فأفادوا أن ذلك خطأ طبي @hananalahmadi @AbdulSadoun,private,3,3,0,0,3
16,@EmadAlmudaifer للمعلوميه...أحد أقربائي أبلغني الان أنه منذ 4 أيام  ذهب إلى مستشفى الحبيب في طريق التخصصي وأخطر منه مبلغ 1750 ريال (كشف طبيب350 ريال +1400ريال لإجراء الفحص)لم يكشف عليه أي طبيب.إشتكى على وزارة الصحه اليوم وتم إعادة المبلغ كاملا له..ناس تخاف ماتختشي.أرجو من الجميع نشره والإستفاده,private,0,3,0,3,3
17,@Ask_Alriyadh1 الحبيب لو تقرصك نملة قالوا لك تحاليل واشعة مقطعية شف اي مستشفى حكومي مثل الحرس التخصصي العسكري واذا مصر الحبيب اسالهم واسال عن اسم الدكتور وشف اذا عنده عيادة ثانية,private,3,3,0,3,3
18,"@SaudiMOH #وزير_الصحة مع احترامي لمقامكم بابكم خربان معالي الوزير مساء اليوم كنت في مستشفى سليمان الحبيب فرع التخصصي و بعض الممرضات لم يرتدين الكمامات وعند الاستفسار افادو ""كمام خربان""",private,3,3,0,0,3
19,#كرونا_السعودية مستشفى الحبيب التخصصي يرفض استقبال حالات اشتباه كرونا اليوم!!  مع العلم انه مركز الاتصال افاد بإمكانية القدوم لماذا؟؟ @HMG_Care  @SaudiMOH,private,3,0,3,0,3
20,@a1015586801 جداً سيئة وفاشلة مستشفى الحبيب كانت لي تجربه معهم مع فرع التخصصي بصراحة حسيت حالي في حكومي مع خاص وبفلوسي بعد,private,3,3,3,3,3
21,مستشفى الحبيب - التخصصي  اليوم لا يوجد كمامات توزع على المراجعين.  @SaudiMOH,private,3,3,3,0,3
22,@tfrabiah معالي الوزير .تنادي ومعك جهاز الوزارة بالالتزام بالجلوس في البيت وامتثالا لذلك طلبت علاجي من مستشفى الحبيب فىع التخصصي ودفعت المبلغ ووعدوني خلال يوم او يومبن الان لي ٩ ايام وكل يوم اتصل بهم ويتجاهلون حاجة المريض للدواء  وانتظاره  طيلة هذه الفترة .,private,3,3,3,0,3
23,@tfrabiah السلام عليكم ورحمة الله وبركاته  اخي اللواء حمد دخل مستشفى الحبيب التخصصي لمغص بسيط  لحالة مع انه يعالج في المتستشفى العسكري بالرياض فتم ادخاله العمليات ثلاثة ايام على التوالي من قبل طبيب ليبي الجنسية بعد عمله اشعتين مقطعية ثم قام بإدخاله العناية المركزة وقام بوضعه على الاجهزة,private,3,3,0,3,3
24,@HMG_Care @HMG @SaudiMOH  السلام عليكم ممكن الإفادة بطريقة رفع شكوى على مستشفى الحبيب فرع التخصصي؟ الشكوى عبارة عن تشخيص خاطئ كاد يؤدي إلى عملية,private,3,3,0,0,3
25,"@tfrabiah ياسعادة الوزير ، تم الغاء ملفي في مستشفى التخصصي بحجة اني لا احتاج علاج، مع العلم اني مصاب بمرض من ٣٥ سنة وهوغير معروف ولم يستطع مستشفى الحبيب والعسكري تشخيصه . وعندما لم يعرفوا مرضي او لم يستطيعوا تشخيصة قالو انك لا تحتاج علاج .",private,3,3,0,0,3
26,@SaudiMOH937 ما قصرتوا لا أنتم ولا مستشفى الحبيب في التخصصي ولا اللجنة الطبية قاتلتوا حتى أخرجتوه من المستشفى رغم حالته الصعبة لينتقل إلى رحمة الله في البيت هذا اليوم . والحمدلله على كل حال ونحن راضون بقضاء الله وقدره وحسبنا الله ونعم الوكيل وإنا لله وإنا إليه راجعون .,private,3,3,0,0,3
27,@aaaaaa2003_22 @tfrabiah   احنا في عيد الاضحى اللي فات .. توفيت قريبتي بعد عمليه تغيير مفصل الركبه في مستشفى الحبيب فرع التخصصي هذا يسمى قتل طبي وليس خطاء طبي لكثرة حالات الوفيات لديهم الغريب بان د. الربيعه  كان يعمل احصائيه معلنه عن المستشفيات واخطائها وكان الحبيب من اكثر المستشفيات بالاخطاء  https://t.co/wgpVP4eyvh,private,3,3,0,3,3
28,@AliAlHoshan @SaudiMOH السلام عليكم اخوي مستشفى الحبيب الي في التخصصي او اَي فرع لا انصح فيه ذبحوا امي بالمسكنات والإبر الين زوق جسمها وخلوها في العنايه شفطو فلوسنا الليلة بعشرة آلاف وبعد ماخذوا حول ٢٠٠ الف ضربوها أبره الين ماتت مستشفى نصب واحتيال همهم الوحيد الفلوس  حسبي الله عليهم,private,0,3,0,0,3
29,والدتي مساء امس زارت مستشفى الحبيب بطريق التخصصي و تم اخذ عينات من الدم لاجراء فحوصات تخص التخثر بالدم ولاهمالهم بالبحث عن الفاتورة الطبية تخثرت العينات وتم طلب اخذ عينات مره اخرى بحجة ان الامر طبيعي حدوثه! اتمنى اتخاذ الاجراء اللازم لان الامر تكرر عدة مرات..  @SaudiMOH,private,3,3,0,0,3
30,@SaudiMOH @HMG @tfrabiah @riyadhhealth للاسف شهر كامل اطارد ورا مستشفى الحبيب التخصصي لتطعيم طفلي لعمر سنتين والرد يكون التطعيمات غير متوفرة,private,3,0,3,0,3
31,غرفة الانتظار في مستشفى الحبيب فرع التخصصي مع الاسف وحدة ملت من لبانتها ولصقتها على يد الكرسي وكان على يسارها سلة المهملات ما ادري وين الوعي خاصة في هالوقت لاحول ولا قوة الا بالله.  https://t.co/osTXAldvJG,private,3,3,3,0,3
32,@HMG من افشل واسوء مجموعة الحبيب فرع التخصصي..تخيل دكتور ينسى متى موعد عملية مريض؟ وتخيل مستشفى خاص يحدد لك موعد عملية ولا يوفر لك غرفة تنويم.. غير المواعيد الملغيه ولا يبلغ المريض بهذا الشئ..وتقدم شكوى بالاخير يكلمك موظف اسفين نعتذر؟؟,private,3,0,0,0,3
33,@HMG_Care @MDAzd8 @HMG @MCgovSA @SaudiMOH @tfrabiah  حسبي الله على مستشفى الحبيب فرع التخصصي اليوم تسكر علي باب الاصنصير ...طيرني لولا لطف الله كان اللحين تقطعت ..ليه مافيه حساسات يفتح للشخص وليه يسكر بسرعه وداخله مافيه تهويه شكلها من عشرين سنه ماتغيرت,private,3,3,3,0,3
